road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
4,96.0,2018,11,3,11290,13900,0183,0003,914,4217000,08,96.0,14,330,02,04,03,2020,01,01,4229166.7
1,231.0,2016,03,28,11560,13200,1755,0000,690,3920000,08,231.0,14,150,02,07,02,2020,01,01,3546623.4
1,139.0,2019,08,11,11530,10900,0192,0075,109,2149000,01,139.0,14,150,03,04,08,2020,01,01,3323741.0
1,43.0,2018,07,2,11290,10100,0226,0131,901,745800,05,43.0,11,910,03,03,10,2020,01,01,1011627.9
2,478.5,2018,04,12,11500,10300,0935,0020,301,5080000,08,478.5,22,210,02,04,05,2020,01,01,8881922.7
2,59.0,2020,04,24,11560,10500,0419,0011,535,5295000,08,59.0,22,330,02,04,06,2020,01,01,10588983.1
0,67.5,2020,11,13,11710,11100,0145,0066,000,1747000,08,67.5,14,910,00,00,00,2020,01,01,10577777.8
4,85.0,2019,10,8,11110,18300,0577,0019,906,4589000,05,85.0,14,230,02,07,02,2020,01,01,3263411.8
2,104.1,2020,03,17,11140,17100,0156,0024,015,5800000,08,104.1,16,310,02,04,06,2020,01,01,21133525.5
1,37.0,2019,04,3,11290,12500,0145,0012,906,3537000,08,37.0,15,110,02,04,10,2020,01,01,4378378.4
2,53.8,2019,05,9,11410,11000,0118,0008,001,4428000,08,53.8,14,140,03,04,07,2020,01,01,6681226.8
1,142.0,2016,06,10,11305,10300,0643,0010,645,1010000,08,142.0,44,110,02,01,08,2016,01,01,1704225.4
0,47.0,2020,06,13,11380,11400,0296,0018,119,191400,08,47.0,44,920,00,00,00,2020,01,01,2127659.6
1,33.1,2018,02,1,11410,11000,0124,0003,001,4514000,08,33.1,14,110,03,01,10,2020,01,01,6072507.6
0,152.0,2019,11,14,11650,10200,0049,0013,000,488300,05,152.0,15,720,03,07,12,2020,01,01,371973.7
1,126.0,2020,12,15,11650,10700,0530,0001,000,10240000,08,126.0,15,230,02,04,08,2020,01,01,20664285.7
4,278.0,2019,12,27,11500,10400,0089,0015,401,4805000,09,278.0,33,410,02,04,02,2020,01,01,10394604.3
1,61.8,2020,12,9,11110,14100,0175,0046,904,4706000,08,61.8,13,160,02,03,11,2020,01,01,6589967.6
2,479.7,2016,10,19,11650,10800,1448,0002,000,7580000,08,479.7,15,230,02,03,06,2020,01,01,9026162.2
1,35.0,2018,03,13,11560,12600,0031,0017,610,3135000,08,35.0,33,110,02,03,11,2020,01,01,4485714.3
1,106.4,2018,12,10,11260,10100,0090,0063,001,4530000,08,106.4,15,240,02,03,03,2020,01,01,6988721.8
1,92.2,2016,07,9,11230,10300,0776,0011,001,2576000,08,92.2,15,330,02,01,10,2020,01,01,2331887.2
1,43.0,2019,04,25,11320,10800,0437,0015,001,1794000,01,43.0,13,150,02,07,08,2020,01,01,2255814.0
1,165.0,2018,02,6,11530,11200,0016,0012,112,1803000,08,165.0,14,110,03,03,10,2020,01,01,2399757.6
3,337.6,2019,01,23,11680,10400,0106,0007,000,13640000,08,337.6,15,140,02,02,05,2020,01,01,28731131.5
1,551.1,2020,01,8,11680,10100,0832,0024,000,11310000,08,551.1,22,210,02,01,08,2020,01,01,33275267.6
1,39.0,2018,01,28,11260,10200,0264,0007,009,2674000,08,39.0,14,150,02,04,08,2020,01,01,2564102.6
1,142.8,2019,11,26,11740,10700,0500,0033,107,2990000,08,142.8,16,110,02,08,08,2020,01,01,6232493.0
1,33.0,2018,12,24,11410,11100,0025,0019,004,3400000,08,33.0,14,150,03,02,02,2020,01,01,4848484.8
1,79.3,2018,10,19,11140,16700,0027,0015,001,5128000,08,79.3,15,240,02,04,08,2020,01,01,11752837.3
3,130.9,2018,09,19,11560,11100,0259,0000,550,5996000,08,130.9,33,220,02,07,05,2020,01,01,10588235.3
1,40.0,2019,08,2,11530,10100,0292,0071,101,1075000,28,40.0,33,910,02,01,08,2020,01,01,1042000.0
4,427.8,2019,02,28,11200,10400,0256,0005,000,9900000,08,427.8,22,230,02,07,01,2020,01,01,21843501.6
4,588.0,2019,10,8,11110,18300,0577,0006,906,4589000,05,588.0,14,230,02,07,02,2020,01,01,3263401.4
1,234.7,2018,06,28,11110,13600,0119,0003,910,15800000,08,234.7,22,240,02,07,08,2020,01,01,28547081.4
3,40.0,2016,08,19,11410,11800,0023,0090,002,3000000,08,40.0,14,150,02,04,05,2020,01,01,2495500.0
4,231.4,2016,02,1,11215,10700,0024,0016,000,6080000,08,231.4,15,210,02,03,01,2020,01,01,6914433.9
0,91.0,2016,08,9,11350,10500,0085,0108,013,3760000,08,91.0,14,140,02,07,02,2020,01,01,1428571.4
1,62.6,2019,01,11,11140,13900,0078,0013,004,4406000,08,62.6,13,240,03,04,08,2020,01,01,6643929.7
1,129.4,2018,04,14,11260,10200,0489,0002,009,2686000,08,129.4,14,110,03,01,08,2020,01,01,4049459.0
2,48.0,2016,10,27,11440,12200,0185,0010,000,7526000,08,48.0,14,110,02,04,06,2020,01,01,5788750.0
2,494.4,2020,05,21,11650,10800,1512,0002,000,6293000,08,494.4,14,150,02,01,06,2020,01,01,15123381.9
0,35.0,2017,06,22,11290,10100,0044,0009,901,319000,05,35.0,11,730,03,04,12,2020,01,01,182857.1
4,541.0,2018,02,8,11710,11100,0107,0008,008,9885000,08,541.0,15,210,02,02,01,2020,01,01,14140480.6
0,116.0,2020,12,3,11650,10900,0001,1049,000,423600,01,116.0,44,510,02,07,12,2020,01,01,482758.6
3,74.7,2019,05,10,11170,11900,0003,0150,508,4510000,08,74.7,14,150,03,07,05,2020,01,01,6476037.5
4,43.0,2018,12,4,11200,11400,0656,0661,000,6172000,01,43.0,33,410,02,04,03,2020,01,01,9441860.5
0,46.0,2020,10,8,11230,10200,0039,0365,000,993300,08,46.0,14,910,00,00,00,2020,01,01,1550000.0
1,383.0,2018,09,4,11650,10400,0458,0000,000,510800,01,383.0,44,510,03,07,08,2020,01,01,783289.8
1,229.0,2020,01,13,11590,10700,0419,0053,213,4300000,08,229.0,14,110,03,03,08,2020,01,01,9283842.8
1,96.0,2016,06,27,11410,11800,0023,0023,002,3000000,08,96.0,14,150,02,04,05,2020,01,01,2455000.0
4,298.0,2019,12,27,11500,10400,0087,0001,401,4805000,09,298.0,33,410,02,04,02,2020,01,01,10394630.9
1,76.0,2020,02,16,11170,11700,0277,0009,507,4695000,08,76.0,22,210,02,04,09,2020,01,01,18578947.4
0,66.0,2020,03,5,11590,10400,0420,0001,201,3477000,08,66.0,14,130,02,07,12,2020,01,01,13509090.9
4,66.1,2018,03,26,11560,10400,0004,0001,535,14410000,08,66.1,22,220,02,07,02,2020,01,01,16200453.9
3,202.0,2019,08,6,11710,11300,0208,0087,004,5270000,08,202.0,15,150,02,07,05,2020,01,01,9405940.6
3,200.0,2020,07,9,11530,11100,0054,0002,111,1157000,28,200.0,44,510,02,05,04,2020,01,01,1850000.0
1,195.8,2019,01,11,11140,13900,0078,0012,004,4406000,08,195.8,13,240,03,04,08,2020,01,01,6643973.4
