road_type,lot_ar,contract_ym,contract_day,price,key
8m미만,126.5,202001,31,900000000.0,67844237391347390231
8m미만,197.0,201811,9,1015540000.0,42389815170765571980
8m미만,33.7,201603,17,100000000.0,59943184006870944761
8m미만,893.0,202006,29,1210490000.0,25130939970299755420
25m미만,113.0,201906,21,682680000.0,67220530127956860740
12m미만,82.6,201603,30,806330000.0,11796293822312267321
25m이상,207.9,202007,9,9525560000.0,35571996736958594431
8m미만,93.9,201611,21,854360000.0,30491377907621267510
25m이상,102.0,201606,24,561000000.0,70313611040191535460
8m미만,180.0,202003,12,518800000.0,10777608254888084340
8m미만,122.3,201909,10,2580000000.0,26280293428597216881
8m미만,359.2,201811,7,1500000000.0,28624794344697805871
25m이상,69.0,201907,25,790050000.0,8776692565358844680
12m미만,48.1,201802,19,321470000.0,75850941110780339411
25m이상,96.0,201912,2,1142400000.0,68997602259464354660
8m미만,96.0,202006,26,288400000.0,48189552356417713500
8m미만,48.0,201611,7,145220000.0,29077945667853188361
8m미만,43.0,201911,7,165000000.0,58097587704163453950
-,186.2,202008,28,1500000000.0,13828341786354963110
12m미만,128.6,201610,27,1076500000.0,91059923194973800580
12m미만,514.0,201811,26,3423020000.0,29934738417539638261
8m미만,212.2,201907,25,1217900000.0,50855847719123283580
25m이상,79.2,202011,27,820750000.0,77893166868253026381
25m이상,95.0,201907,15,466760000.0,48563639140857480760
-,42.0,202005,6,179610000.0,52337571741234159020
-,343.0,201612,30,1583400000.0,11371260151487625771
8m미만,37.5,202008,7,200000000.0,66244465195064911330
25m이상,153.0,202008,4,2119520000.0,30238098892331046051
8m미만,89.3,201905,20,1022400000.0,69587829082842753720
8m미만,84.7,201911,7,898360000.0,8443019753900351101
8m미만,65.0,201601,15,150000000.0,12844576867354303450
8m미만,261.0,201803,23,316000000.0,66274267861317926050
8m미만,142.0,201604,13,773000000.0,27870266607798122310
12m미만,410.0,202001,6,7440000000.0,73108790174923853571
8m미만,314.0,201806,19,1519800000.0,23661848785143602431
25m이상,886.0,201910,8,2891370000.0,54459940835598188720
25m미만,80.0,201608,10,315930000.0,54346630856426314130
8m미만,51.0,201606,14,129210000.0,59254941092817883391
8m미만,35.0,202001,3,104800000.0,90306548618061979281
8m미만,90.2,202005,6,615320000.0,12177398100897315141
8m미만,63.0,201806,14,349750000.0,63424435834171664350
